# Метеостанция Ла-Пас / Эль-Альто (аэропорт), Боливия, WMO_ID=85201, выборка с 01.06.2018 по 01.07.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=85201&lang=ru
#
"Местное время в Ла-Пасе / Эль-Альто (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.06.2018 08:00";"2.5";"473.6";"";"0.5";"47";"Переменное направление";"1";"";"";"40%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-5.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-7.7";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-6.0";"";"";
"29.06.2018 05:00";"-1.8";"473.1";"";"0.1";"85";"Ветер, дующий с северо-северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"100-200";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-4.0";"";"";"";"";"";"";
"29.06.2018 02:00";"-0.8";"473.0";"";"-0.1";"89";"Ветер, дующий с востоко-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"100-200";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-2.4";"";"";"";"";"";"";
"28.06.2018 23:00";"4.0";"473.1";"";"0.9";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"60%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"3.0";"3.0";"";"";"";"";"";"";
"28.06.2018 20:00";"2.7";"472.2";"";"0.6";"68";"Ветер, дующий с востоко-северо-востока";"4";"";"";"20–30%.";" ";"";"";"";"15.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-2.7";"";"";"";"";"";"";
"28.06.2018 17:00";"14.3";"471.6";"";"-0.7";"19";"Ветер, дующий с западо-северо-запада";"5";"";"";"40%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"15.0";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-9.4";"";"";"";"";"";"";
"28.06.2018 14:00";"13.6";"472.3";"";"-1.0";"28";"Ветер, дующий с западо-северо-запада";"7";"12";"";"40%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-4.6";"";"";"";"";"";"";
"28.06.2018 11:00";"8.5";"473.3";"";"0.5";"66";"Ветер, дующий с запада";"4";"";"";"60%.";"Мгла. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"2.4";"";"";"";"";"";"";
"28.06.2018 08:00";"1.7";"472.8";"";"0.8";"91";"Переменное направление";"1";"";"";"60%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-3.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"3.0";"0.3";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-4.0";"";"";
"28.06.2018 05:00";"1.2";"472.0";"";"-0.3";"97";"Переменное направление";"1";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"0.8";"";"";"";"";"";"";
"28.06.2018 02:00";"1.6";"472.3";"";"-0.4";"97";"Ветер, дующий с востока";"3";"";"";"70 – 80%.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"3.0";"1.2";"";"";"";"";"";"";
"27.06.2018 23:00";"4.2";"472.7";"";"1.1";"94";"Ветер, дующий с востока";"3";"";"";"90  или более, но не 100%";"Туман или ледяной туман, небо видно, ослабел за последний час. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"20–30%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"0.8";"3.3";"";"";"";"";"";"";
"27.06.2018 20:00";"5.7";"471.6";"";"0.4";"67";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"12.4";"Слоисто-кучевые, образовавшиеся из кучевых.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"0.0";"";"";"";"";"";"";
"27.06.2018 17:00";"10.3";"471.2";"";"-0.7";"47";"Ветер, дующий с запада";"5";"";"";"70 – 80%.";" ";"";"";"";"12.4";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-0.5";"";"";"";"";"";"";
"27.06.2018 14:00";"11.0";"471.9";"";"-1.0";"47";"Ветер, дующий с западо-северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"0.0";"";"";"";"";"";"";
"27.06.2018 11:00";"7.3";"472.9";"";"0.4";"59";"Ветер, дующий с востоко-юго-востока";"4";"";"";"90  или более, но не 100%";"Мгла. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-0.2";"";"";"";"";"";"";
"27.06.2018 08:00";"3.8";"472.5";"";"0.7";"89";"Переменное направление";"1";"";"";"90  или более, но не 100%";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"2.2";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-2.0";"";"";
"27.06.2018 05:00";"4.0";"471.8";"";"-0.7";"89";"Переменное направление";"1";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"2.4";"";"";"";"";"";"";
"27.06.2018 02:00";"4.1";"472.5";"";"0.3";"91";"Ветер, дующий с востоко-юго-востока";"2";"";"";"60%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"2.7";"";"";"";"";"";"";
"26.06.2018 23:00";"3.1";"472.2";"";"0.7";"95";"Переменное направление";"1";"";"";"60%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"3.0";"2.4";"";"";"";"";"";"";
"26.06.2018 20:00";"4.5";"471.5";"";"0.2";"62";"Ветер, дующий с востоко-северо-востока";"2";"";"";"50%.";" ";"";"";"";"15.0";"Слоисто-кучевые, образовавшиеся из кучевых.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-2.3";"";"";"";"";"";"";
"26.06.2018 17:00";"12.5";"471.3";"";"-0.5";"34";"Ветер, дующий с запада";"6";"";"";"50%.";" ";"";"";"";"15.0";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.0";"";"";"";"";"";"";
"26.06.2018 14:00";"13.4";"471.8";"";"-1.4";"28";"Ветер, дующий с западо-северо-запада";"5";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-4.9";"";"";"";"";"";"";
"26.06.2018 11:00";"9.5";"473.2";"";"0.1";"30";"Ветер, дующий с западо-юго-запада";"2";"";"";"20–30%.";"Мгла. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-7.2";"";"";"";"";"";"";
"26.06.2018 08:00";"1.5";"473.1";"";"0.6";"65";"Переменное направление";"1";"";"";"20–30%.";"Мгла. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-4.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-4.4";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-6.0";"";"";
"26.06.2018 05:00";"-2.2";"472.5";"";"-0.3";"97";"Переменное направление";"1";"";"";"20–30%.";"Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"20–30%.";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.5";"-2.6";"";"";"";"";"";"";
"26.06.2018 02:00";"-2.2";"472.8";"";"-0.2";"94";"Ветер, дующий с востока";"3";"";"";"20–30%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"50-100";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"-3.1";"";"";"";"";"";"";
"25.06.2018 23:00";"3.1";"473.0";"";"0.6";"51";"Ветер, дующий с северо-северо-востока";"2";"";"";"Облаков нет.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"15.0";"-6.2";"";"";"";"";"";"";
"25.06.2018 20:00";"6.4";"472.4";"";"0.4";"45";"Ветер, дующий с севера";"4";"";"";"20–30%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"14.4";"Слоисто-кучевые, образовавшиеся из кучевых.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-4.8";"";"";"";"";"";"";
"25.06.2018 17:00";"13.0";"472.0";"";"-0.8";"22";"Ветер, дующий с западо-северо-запада";"4";"";"";"50%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"14.4";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-8.4";"";"";"";"";"";"";
